Glacier_ID,Area_km2,ELA_Altitude_m
RGI2000-v7.0-G-01-17409,1.02,1451.7
RGI2000-v7.0-G-01-17413,16.27,1542.67
RGI2000-v7.0-G-01-17416,2.0,1478.56
RGI2000-v7.0-G-01-17422,2.04,1395.56
RGI2000-v7.0-G-01-17425,1.65,1342.49
RGI2000-v7.0-G-01-17433,30.48,1357.71
RGI2000-v7.0-G-01-17452,4.93,1405.27
RGI2000-v7.0-G-01-17461,4.18,1293.43
RGI2000-v7.0-G-01-17467,4.0,1345.51
RGI2000-v7.0-G-01-17470,1.39,1470.72
RGI2000-v7.0-G-01-17491,2.17,961.39
RGI2000-v7.0-G-01-17494,3.68,1466.05
RGI2000-v7.0-G-01-17495,2.9,1457.89
RGI2000-v7.0-G-01-17496,21.56,1199.34
RGI2000-v7.0-G-01-17498,1.21,1249.19
RGI2000-v7.0-G-01-17499,2.99,1391.63
RGI2000-v7.0-G-01-17502,3.32,1370.74
RGI2000-v7.0-G-01-17505,1.15,1576.11
RGI2000-v7.0-G-01-17514,1.87,1355.92
RGI2000-v7.0-G-01-17516,156.84,1423.88
RGI2000-v7.0-G-01-17535,4.75,1312.29
RGI2000-v7.0-G-01-17536,1.88,916.33
RGI2000-v7.0-G-01-17537,1.83,1335.06
RGI2000-v7.0-G-01-17541,1.29,1390.73
RGI2000-v7.0-G-01-17542,1.76,1249.12
RGI2000-v7.0-G-01-17545,6.37,1205.07
RGI2000-v7.0-G-01-17555,1.16,1170.78
RGI2000-v7.0-G-01-17570,1.13,1174.65
RGI2000-v7.0-G-01-17571,16.35,1211.63
RGI2000-v7.0-G-01-17572,2.1,1291.39
RGI2000-v7.0-G-01-17573,1.83,1216.86
RGI2000-v7.0-G-01-17575,1.32,1279.57
RGI2000-v7.0-G-01-17579,1.23,1291.13
RGI2000-v7.0-G-01-17582,2.2,1103.77
RGI2000-v7.0-G-01-17591,1.19,1097.89
RGI2000-v7.0-G-01-17598,1.25,1194.5
RGI2000-v7.0-G-01-17599,1.75,927.6
RGI2000-v7.0-G-01-17600,1.39,1327.42
RGI2000-v7.0-G-01-17601,2.24,1259.23
RGI2000-v7.0-G-01-17603,1.11,1258.9
RGI2000-v7.0-G-01-17609,1.24,1158.48
RGI2000-v7.0-G-01-17611,7.06,985.15
